index,totalAssertions,validAssertions,passedAssertions,totalAssertionsforQLTY,measuredPROD,referencePROD, measuredUS, referenceUS, measuredQLTY, referenceQLTY
42,72,17,9,25, 12.50, 23.61,4,3, 36.00,100.00
43,72,23,6,25,  8.33, 31.94,4,4, 24.00,100.00
44,72,19,17,39, 23.61, 26.39,6,3, 43.59,100.00
45,72,25,14,39, 19.44, 34.72,6,4, 35.90,100.00
46,72,24,15,44, 20.83, 33.33,7,4, 34.09,100.00
47,72,30,14,48, 19.44, 41.67,8,5, 29.17,100.00
48,72,14,13,25, 18.06, 19.44,4,2, 52.00,100.00
49,72,20,10,25, 13.89, 27.78,4,3, 40.00,100.00
50,72,19,10,25, 13.89, 26.39,4,3, 40.00,100.00
51,72,25,7,25,  9.72, 34.72,4,4, 28.00,100.00
52,72,21,21,52, 29.17, 29.17,7,3, 40.38,100.00
53,72,27,18,52, 25.00, 37.50,7,4, 34.62,100.00
54,72,26,18,52, 25.00, 36.11,7,4, 34.62,100.00
55,72,32,15,52, 20.83, 44.44,7,5, 28.85,100.00
56,72,19,13,25, 18.06, 26.39,4,3, 52.00,100.00
57,72,25,10,25, 13.89, 34.72,4,4, 40.00,100.00
58,72,24,10,25, 13.89, 33.33,4,4, 40.00,100.00
59,72,30,7,25,  9.72, 41.67,4,5, 28.00,100.00
60,72,26,21,52, 29.17, 36.11,7,4, 40.38,100.00
61,72,32,18,52, 25.00, 44.44,7,5, 34.62,100.00
62,72,31,20,57, 27.78, 43.06,8,5, 35.09,100.00
63,72,37,21,65, 29.17, 51.39,10,6, 32.31,100.00
64,72,4,12,25, 16.67,  5.56,4,1, 48.00,100.00
65,72,10,9,25, 12.50, 13.89,4,2, 36.00,100.00
66,72,9,9,25, 12.50, 12.50,4,2, 36.00,100.00
67,72,15,6,25,  8.33, 20.83,4,3, 24.00,100.00
68,72,11,15,32, 20.83, 15.28,5,2, 46.88,100.00
69,72,17,12,32, 16.67, 23.61,5,3, 37.50,100.00
70,72,16,12,32, 16.67, 22.22,5,3, 37.50,100.00
71,72,22,9,32, 12.50, 30.56,5,4, 28.13,100.00
72,72,9,12,25, 16.67, 12.50,4,2, 48.00,100.00
73,72,15,9,25, 12.50, 20.83,4,3, 36.00,100.00
74,72,14,9,25, 12.50, 19.44,4,3, 36.00,100.00
75,72,20,6,25,  8.33, 27.78,4,4, 24.00,100.00
76,72,16,15,32, 20.83, 22.22,5,3, 46.88,100.00
77,72,22,12,32, 16.67, 30.56,5,4, 37.50,100.00
78,72,21,13,37, 18.06, 29.17,6,4, 35.14,100.00
79,72,27,10,37, 13.89, 37.50,6,5, 27.03,100.00
80,72,11,13,25, 18.06, 15.28,4,2, 52.00,100.00
81,72,17,10,25, 13.89, 23.61,4,3, 40.00,100.00
82,72,16,10,25, 13.89, 22.22,4,3, 40.00,100.00
83,72,22,7,25,  9.72, 30.56,4,4, 28.00,100.00
84,72,18,19,45, 26.39, 25.00,6,3, 42.22,100.00
85,72,24,16,45, 22.22, 33.33,6,4, 35.56,100.00
86,72,23,16,45, 22.22, 31.94,6,4, 35.56,100.00
87,72,29,13,45, 18.06, 40.28,6,5, 28.89,100.00
88,72,16,13,25, 18.06, 22.22,4,3, 52.00,100.00
89,72,22,10,25, 13.89, 30.56,4,4, 40.00,100.00
90,72,21,10,25, 13.89, 29.17,4,4, 40.00,100.00
91,72,27,7,25,  9.72, 37.50,4,5, 28.00,100.00
92,72,23,19,45, 26.39, 31.94,6,4, 42.22,100.00
93,72,29,16,45, 22.22, 40.28,6,5, 35.56,100.00
94,72,28,18,50, 25.00, 38.89,7,5, 36.00,100.00
95,72,34,15,50, 20.83, 47.22,7,6, 30.00,100.00
96,72,11,12,25, 16.67, 15.28,4,2, 48.00,100.00
97,72,17,9,25, 12.50, 23.61,4,3, 36.00,100.00
98,72,16,9,25, 12.50, 22.22,4,3, 36.00,100.00
99,72,22,6,25,  8.33, 30.56,4,4, 24.00,100.00
100,72,18,17,39, 23.61, 25.00,6,3, 43.59,100.00
101,72,24,14,39, 19.44, 33.33,6,4, 35.90,100.00
102,72,23,14,39, 19.44, 31.94,6,4, 35.90,100.00
103,72,29,11,39, 15.28, 40.28,6,5, 28.21,100.00
104,72,16,12,25, 16.67, 22.22,4,3, 48.00,100.00
105,72,22,9,25, 12.50, 30.56,4,4, 36.00,100.00
106,72,21,9,25, 12.50, 29.17,4,4, 36.00,100.00
107,72,27,6,25,  8.33, 37.50,4,5, 24.00,100.00
108,72,23,17,39, 23.61, 31.94,6,4, 43.59,100.00
109,72,29,14,39, 19.44, 40.28,6,5, 35.90,100.00
110,72,28,15,44, 20.83, 38.89,7,5, 34.09,100.00
111,72,34,14,48, 19.44, 47.22,8,6, 29.17,100.00
112,72,18,13,25, 18.06, 25.00,4,3, 52.00,100.00
113,72,24,10,25, 13.89, 33.33,4,4, 40.00,100.00
114,72,23,10,25, 13.89, 31.94,4,4, 40.00,100.00
115,72,29,7,25,  9.72, 40.28,4,5, 28.00,100.00
116,72,25,21,52, 29.17, 34.72,7,4, 40.38,100.00
117,72,31,18,52, 25.00, 43.06,7,5, 34.62,100.00
118,72,30,18,52, 25.00, 41.67,7,5, 34.62,100.00
119,72,36,15,52, 20.83, 50.00,7,6, 28.85,100.00
120,72,23,13,25, 18.06, 31.94,4,4, 52.00,100.00
121,72,29,10,25, 13.89, 40.28,4,5, 40.00,100.00
122,72,28,10,25, 13.89, 38.89,4,5, 40.00,100.00
123,72,34,7,25,  9.72, 47.22,4,6, 28.00,100.00
124,72,30,21,52, 29.17, 41.67,7,5, 40.38,100.00
125,72,36,18,52, 25.00, 50.00,7,6, 34.62,100.00
126,72,35,20,57, 27.78, 48.61,8,6, 35.09,100.00
127,72,41,21,65, 29.17, 56.94,10,7, 32.31,100.00
128,72,3,12,25, 16.67,  4.17,4,1, 48.00,100.00
129,72,9,9,25, 12.50, 12.50,4,2, 36.00,100.00
130,72,8,9,25, 12.50, 11.11,4,2, 36.00,100.00
131,72,14,6,25,  8.33, 19.44,4,3, 24.00,100.00
132,72,10,15,32, 20.83, 13.89,5,2, 46.88,100.00
133,72,16,12,32, 16.67, 22.22,5,3, 37.50,100.00
134,72,15,12,32, 16.67, 20.83,5,3, 37.50,100.00
135,72,21,9,32, 12.50, 29.17,5,4, 28.13,100.00
136,72,8,12,25, 16.67, 11.11,4,2, 48.00,100.00
137,72,14,9,25, 12.50, 19.44,4,3, 36.00,100.00
138,72,13,9,25, 12.50, 18.06,4,3, 36.00,100.00
139,72,19,6,25,  8.33, 26.39,4,4, 24.00,100.00
140,72,15,15,32, 20.83, 20.83,5,3, 46.88,100.00
141,72,21,12,32, 16.67, 29.17,5,4, 37.50,100.00
142,72,20,13,37, 18.06, 27.78,6,4, 35.14,100.00
143,72,26,10,37, 13.89, 36.11,6,5, 27.03,100.00
144,72,10,13,25, 18.06, 13.89,4,2, 52.00,100.00
145,72,16,10,25, 13.89, 22.22,4,3, 40.00,100.00
146,72,15,10,25, 13.89, 20.83,4,3, 40.00,100.00
147,72,21,7,25,  9.72, 29.17,4,4, 28.00,100.00
148,72,17,19,45, 26.39, 23.61,6,3, 42.22,100.00
149,72,23,16,45, 22.22, 31.94,6,4, 35.56,100.00
150,72,22,16,45, 22.22, 30.56,6,4, 35.56,100.00
151,72,28,13,45, 18.06, 38.89,6,5, 28.89,100.00
152,72,15,13,25, 18.06, 20.83,4,3, 52.00,100.00
153,72,21,10,25, 13.89, 29.17,4,4, 40.00,100.00
154,72,20,10,25, 13.89, 27.78,4,4, 40.00,100.00
155,72,26,7,25,  9.72, 36.11,4,5, 28.00,100.00
156,72,22,19,45, 26.39, 30.56,6,4, 42.22,100.00
157,72,28,16,45, 22.22, 38.89,6,5, 35.56,100.00
158,72,27,18,50, 25.00, 37.50,7,5, 36.00,100.00
159,72,33,16,53, 22.22, 45.83,8,6, 30.19,100.00
160,72,10,12,25, 16.67, 13.89,4,2, 48.00,100.00
161,72,16,9,25, 12.50, 22.22,4,3, 36.00,100.00
162,72,15,9,25, 12.50, 20.83,4,3, 36.00,100.00
163,72,21,6,25,  8.33, 29.17,4,4, 24.00,100.00
164,72,17,17,39, 23.61, 23.61,6,3, 43.59,100.00
165,72,23,14,39, 19.44, 31.94,6,4, 35.90,100.00
166,72,22,14,39, 19.44, 30.56,6,4, 35.90,100.00
167,72,28,11,39, 15.28, 38.89,6,5, 28.21,100.00
168,72,15,12,25, 16.67, 20.83,4,3, 48.00,100.00
169,72,21,9,25, 12.50, 29.17,4,4, 36.00,100.00
170,72,20,9,25, 12.50, 27.78,4,4, 36.00,100.00
171,72,26,6,25,  8.33, 36.11,4,5, 24.00,100.00
172,72,22,17,39, 23.61, 30.56,6,4, 43.59,100.00
173,72,28,14,39, 19.44, 38.89,6,5, 35.90,100.00
174,72,27,15,44, 20.83, 37.50,7,5, 34.09,100.00
175,72,33,14,48, 19.44, 45.83,8,6, 29.17,100.00
176,72,17,13,25, 18.06, 23.61,4,3, 52.00,100.00
177,72,23,10,25, 13.89, 31.94,4,4, 40.00,100.00
178,72,22,10,25, 13.89, 30.56,4,4, 40.00,100.00
179,72,28,7,25,  9.72, 38.89,4,5, 28.00,100.00
180,72,24,21,52, 29.17, 33.33,7,4, 40.38,100.00
181,72,30,18,52, 25.00, 41.67,7,5, 34.62,100.00
182,72,29,18,52, 25.00, 40.28,7,5, 34.62,100.00
183,72,35,15,52, 20.83, 48.61,7,6, 28.85,100.00
184,72,22,13,25, 18.06, 30.56,4,4, 52.00,100.00
185,72,28,10,25, 13.89, 38.89,4,5, 40.00,100.00
186,72,27,10,25, 13.89, 37.50,4,5, 40.00,100.00
187,72,33,7,25,  9.72, 45.83,4,6, 28.00,100.00
188,72,29,21,52, 29.17, 40.28,7,5, 40.38,100.00
189,72,35,18,52, 25.00, 48.61,7,6, 34.62,100.00
190,72,34,20,57, 27.78, 47.22,8,6, 35.09,100.00
191,72,40,22,68, 30.56, 55.56,11,7, 32.35,100.00
192,72,7,12,25, 16.67,  9.72,4,2, 48.00,100.00
193,72,13,9,25, 12.50, 18.06,4,3, 36.00,100.00
194,72,12,9,25, 12.50, 16.67,4,3, 36.00,100.00
195,72,18,6,25,  8.33, 25.00,4,4, 24.00,100.00
196,72,14,15,32, 20.83, 19.44,5,3, 46.88,100.00
197,72,20,12,32, 16.67, 27.78,5,4, 37.50,100.00
198,72,19,12,32, 16.67, 26.39,5,4, 37.50,100.00
199,72,25,9,32, 12.50, 34.72,5,5, 28.13,100.00
200,72,12,12,25, 16.67, 16.67,4,3, 48.00,100.00
201,72,18,9,25, 12.50, 25.00,4,4, 36.00,100.00
202,72,17,9,25, 12.50, 23.61,4,4, 36.00,100.00
203,72,23,6,25,  8.33, 31.94,4,5, 24.00,100.00
204,72,19,15,32, 20.83, 26.39,5,4, 46.88,100.00
205,72,25,12,32, 16.67, 34.72,5,5, 37.50,100.00
206,72,24,13,37, 18.06, 33.33,6,5, 35.14,100.00
207,72,30,10,37, 13.89, 41.67,6,6, 27.03,100.00
208,72,14,13,25, 18.06, 19.44,4,3, 52.00,100.00
209,72,20,10,25, 13.89, 27.78,4,4, 40.00,100.00
210,72,19,10,25, 13.89, 26.39,4,4, 40.00,100.00
211,72,25,7,25,  9.72, 34.72,4,5, 28.00,100.00
212,72,21,19,45, 26.39, 29.17,6,4, 42.22,100.00
213,72,27,16,45, 22.22, 37.50,6,5, 35.56,100.00
214,72,26,16,45, 22.22, 36.11,6,5, 35.56,100.00
215,72,32,13,45, 18.06, 44.44,6,6, 28.89,100.00
216,72,19,13,25, 18.06, 26.39,4,4, 52.00,100.00
217,72,25,10,25, 13.89, 34.72,4,5, 40.00,100.00
218,72,24,10,25, 13.89, 33.33,4,5, 40.00,100.00
219,72,30,7,25,  9.72, 41.67,4,6, 28.00,100.00
220,72,26,19,45, 26.39, 36.11,6,5, 42.22,100.00
221,72,32,16,45, 22.22, 44.44,6,6, 35.56,100.00
222,72,31,18,50, 25.00, 43.06,7,6, 36.00,100.00
223,72,37,16,53, 22.22, 51.39,8,7, 30.19,100.00
224,72,14,12,25, 16.67, 19.44,4,3, 48.00,100.00
225,72,20,9,25, 12.50, 27.78,4,4, 36.00,100.00
226,72,19,9,25, 12.50, 26.39,4,4, 36.00,100.00
227,72,25,6,25,  8.33, 34.72,4,5, 24.00,100.00
228,72,21,17,39, 23.61, 29.17,6,4, 43.59,100.00
229,72,27,14,39, 19.44, 37.50,6,5, 35.90,100.00
230,72,26,14,39, 19.44, 36.11,6,5, 35.90,100.00
231,72,32,11,39, 15.28, 44.44,6,6, 28.21,100.00
232,72,19,12,25, 16.67, 26.39,4,4, 48.00,100.00
233,72,25,9,25, 12.50, 34.72,4,5, 36.00,100.00
234,72,24,9,25, 12.50, 33.33,4,5, 36.00,100.00
235,72,30,6,25,  8.33, 41.67,4,6, 24.00,100.00
236,72,26,17,39, 23.61, 36.11,6,5, 43.59,100.00
237,72,32,14,39, 19.44, 44.44,6,6, 35.90,100.00
238,72,31,15,44, 20.83, 43.06,7,6, 34.09,100.00
239,72,37,14,48, 19.44, 51.39,8,7, 29.17,100.00
240,72,21,13,25, 18.06, 29.17,4,4, 52.00,100.00
241,72,27,10,25, 13.89, 37.50,4,5, 40.00,100.00
242,72,26,10,25, 13.89, 36.11,4,5, 40.00,100.00
243,72,32,7,25,  9.72, 44.44,4,6, 28.00,100.00
244,72,28,21,52, 29.17, 38.89,7,5, 40.38,100.00
245,72,34,18,52, 25.00, 47.22,7,6, 34.62,100.00
246,72,33,18,52, 25.00, 45.83,7,6, 34.62,100.00
247,72,39,15,52, 20.83, 54.17,7,7, 28.85,100.00
248,72,26,13,25, 18.06, 36.11,4,5, 52.00,100.00
249,72,32,10,25, 13.89, 44.44,4,6, 40.00,100.00
250,72,31,10,25, 13.89, 43.06,4,6, 40.00,100.00
251,72,37,7,25,  9.72, 51.39,4,7, 28.00,100.00
252,72,33,21,52, 29.17, 45.83,7,6, 40.38,100.00
253,72,39,18,52, 25.00, 54.17,7,7, 34.62,100.00
254,72,38,20,57, 27.78, 52.78,8,7, 35.09,100.00
255,72,44,22,68, 30.56, 61.11,11,8, 32.35,100.00
256,72,4,12,25, 16.67,  5.56,4,1, 48.00,100.00
257,72,10,9,25, 12.50, 13.89,4,2, 36.00,100.00
258,72,9,9,25, 12.50, 12.50,4,2, 36.00,100.00
259,72,15,6,25,  8.33, 20.83,4,3, 24.00,100.00
260,72,11,15,32, 20.83, 15.28,5,2, 46.88,100.00
261,72,17,12,32, 16.67, 23.61,5,3, 37.50,100.00
262,72,16,12,32, 16.67, 22.22,5,3, 37.50,100.00
263,72,22,9,32, 12.50, 30.56,5,4, 28.13,100.00
264,72,9,12,25, 16.67, 12.50,4,2, 48.00,100.00
265,72,15,9,25, 12.50, 20.83,4,3, 36.00,100.00
266,72,14,9,25, 12.50, 19.44,4,3, 36.00,100.00
267,72,20,6,25,  8.33, 27.78,4,4, 24.00,100.00
268,72,16,15,32, 20.83, 22.22,5,3, 46.88,100.00
269,72,22,12,32, 16.67, 30.56,5,4, 37.50,100.00
270,72,21,13,37, 18.06, 29.17,6,4, 35.14,100.00
271,72,27,10,37, 13.89, 37.50,6,5, 27.03,100.00
272,72,11,13,25, 18.06, 15.28,4,2, 52.00,100.00
273,72,17,10,25, 13.89, 23.61,4,3, 40.00,100.00
274,72,16,10,25, 13.89, 22.22,4,3, 40.00,100.00
275,72,22,7,25,  9.72, 30.56,4,4, 28.00,100.00
276,72,18,19,45, 26.39, 25.00,6,3, 42.22,100.00
277,72,24,16,45, 22.22, 33.33,6,4, 35.56,100.00
278,72,23,16,45, 22.22, 31.94,6,4, 35.56,100.00
279,72,29,13,45, 18.06, 40.28,6,5, 28.89,100.00
280,72,16,13,25, 18.06, 22.22,4,3, 52.00,100.00
281,72,22,10,25, 13.89, 30.56,4,4, 40.00,100.00
282,72,21,10,25, 13.89, 29.17,4,4, 40.00,100.00
283,72,27,7,25,  9.72, 37.50,4,5, 28.00,100.00
284,72,23,19,45, 26.39, 31.94,6,4, 42.22,100.00
285,72,29,16,45, 22.22, 40.28,6,5, 35.56,100.00
286,72,28,18,50, 25.00, 38.89,7,5, 36.00,100.00
287,72,34,15,50, 20.83, 47.22,7,6, 30.00,100.00
288,72,11,12,25, 16.67, 15.28,4,2, 48.00,100.00
289,72,17,9,25, 12.50, 23.61,4,3, 36.00,100.00
290,72,16,9,25, 12.50, 22.22,4,3, 36.00,100.00
291,72,22,6,25,  8.33, 30.56,4,4, 24.00,100.00
292,72,18,17,39, 23.61, 25.00,6,3, 43.59,100.00
293,72,24,14,39, 19.44, 33.33,6,4, 35.90,100.00
294,72,23,14,39, 19.44, 31.94,6,4, 35.90,100.00
295,72,29,11,39, 15.28, 40.28,6,5, 28.21,100.00
296,72,16,12,25, 16.67, 22.22,4,3, 48.00,100.00
297,72,22,9,25, 12.50, 30.56,4,4, 36.00,100.00
298,72,21,9,25, 12.50, 29.17,4,4, 36.00,100.00
299,72,27,6,25,  8.33, 37.50,4,5, 24.00,100.00
300,72,23,17,39, 23.61, 31.94,6,4, 43.59,100.00
301,72,29,14,39, 19.44, 40.28,6,5, 35.90,100.00
302,72,28,15,44, 20.83, 38.89,7,5, 34.09,100.00
303,72,34,14,48, 19.44, 47.22,8,6, 29.17,100.00
304,72,18,13,25, 18.06, 25.00,4,3, 52.00,100.00
305,72,24,10,25, 13.89, 33.33,4,4, 40.00,100.00
306,72,23,10,25, 13.89, 31.94,4,4, 40.00,100.00
307,72,29,7,25,  9.72, 40.28,4,5, 28.00,100.00
308,72,25,21,52, 29.17, 34.72,7,4, 40.38,100.00
309,72,31,18,52, 25.00, 43.06,7,5, 34.62,100.00
310,72,30,18,52, 25.00, 41.67,7,5, 34.62,100.00
311,72,36,15,52, 20.83, 50.00,7,6, 28.85,100.00
312,72,23,13,25, 18.06, 31.94,4,4, 52.00,100.00
313,72,29,10,25, 13.89, 40.28,4,5, 40.00,100.00
314,72,28,10,25, 13.89, 38.89,4,5, 40.00,100.00
315,72,34,7,25,  9.72, 47.22,4,6, 28.00,100.00
316,72,30,21,52, 29.17, 41.67,7,5, 40.38,100.00
317,72,36,18,52, 25.00, 50.00,7,6, 34.62,100.00
318,72,35,20,57, 27.78, 48.61,8,6, 35.09,100.00
319,72,41,21,65, 29.17, 56.94,10,7, 32.31,100.00
320,72,8,12,25, 16.67, 11.11,4,2, 48.00,100.00
321,72,14,9,25, 12.50, 19.44,4,3, 36.00,100.00
322,72,13,9,25, 12.50, 18.06,4,3, 36.00,100.00
323,72,19,6,25,  8.33, 26.39,4,4, 24.00,100.00
324,72,15,15,32, 20.83, 20.83,5,3, 46.88,100.00
325,72,21,12,32, 16.67, 29.17,5,4, 37.50,100.00
326,72,20,12,32, 16.67, 27.78,5,4, 37.50,100.00
327,72,26,9,32, 12.50, 36.11,5,5, 28.13,100.00
328,72,13,12,25, 16.67, 18.06,4,3, 48.00,100.00
329,72,19,9,25, 12.50, 26.39,4,4, 36.00,100.00
330,72,18,9,25, 12.50, 25.00,4,4, 36.00,100.00
331,72,24,6,25,  8.33, 33.33,4,5, 24.00,100.00
332,72,20,15,32, 20.83, 27.78,5,4, 46.88,100.00
333,72,26,12,32, 16.67, 36.11,5,5, 37.50,100.00
334,72,25,13,37, 18.06, 34.72,6,5, 35.14,100.00
335,72,31,10,37, 13.89, 43.06,6,6, 27.03,100.00
336,72,15,13,25, 18.06, 20.83,4,3, 52.00,100.00
337,72,21,10,25, 13.89, 29.17,4,4, 40.00,100.00
338,72,20,10,25, 13.89, 27.78,4,4, 40.00,100.00
339,72,26,7,25,  9.72, 36.11,4,5, 28.00,100.00
340,72,22,19,45, 26.39, 30.56,6,4, 42.22,100.00
341,72,28,16,45, 22.22, 38.89,6,5, 35.56,100.00
342,72,27,16,45, 22.22, 37.50,6,5, 35.56,100.00
343,72,33,13,45, 18.06, 45.83,6,6, 28.89,100.00
344,72,20,13,25, 18.06, 27.78,4,4, 52.00,100.00
345,72,26,10,25, 13.89, 36.11,4,5, 40.00,100.00
346,72,25,10,25, 13.89, 34.72,4,5, 40.00,100.00
347,72,31,7,25,  9.72, 43.06,4,6, 28.00,100.00
348,72,27,19,45, 26.39, 37.50,6,5, 42.22,100.00
349,72,33,16,45, 22.22, 45.83,6,6, 35.56,100.00
350,72,32,18,50, 25.00, 44.44,7,6, 36.00,100.00
351,72,38,15,50, 20.83, 52.78,7,7, 30.00,100.00
352,72,15,12,25, 16.67, 20.83,4,3, 48.00,100.00
353,72,21,9,25, 12.50, 29.17,4,4, 36.00,100.00
354,72,20,9,25, 12.50, 27.78,4,4, 36.00,100.00
355,72,26,6,25,  8.33, 36.11,4,5, 24.00,100.00
356,72,22,17,39, 23.61, 30.56,6,4, 43.59,100.00
357,72,28,14,39, 19.44, 38.89,6,5, 35.90,100.00
358,72,27,14,39, 19.44, 37.50,6,5, 35.90,100.00
359,72,33,11,39, 15.28, 45.83,6,6, 28.21,100.00
360,72,20,12,25, 16.67, 27.78,4,4, 48.00,100.00
361,72,26,9,25, 12.50, 36.11,4,5, 36.00,100.00
362,72,25,9,25, 12.50, 34.72,4,5, 36.00,100.00
363,72,31,6,25,  8.33, 43.06,4,6, 24.00,100.00
364,72,27,17,39, 23.61, 37.50,6,5, 43.59,100.00
365,72,33,14,39, 19.44, 45.83,6,6, 35.90,100.00
366,72,32,15,44, 20.83, 44.44,7,6, 34.09,100.00
367,72,38,14,48, 19.44, 52.78,8,7, 29.17,100.00
368,72,22,13,25, 18.06, 30.56,4,4, 52.00,100.00
369,72,28,10,25, 13.89, 38.89,4,5, 40.00,100.00
370,72,27,10,25, 13.89, 37.50,4,5, 40.00,100.00
371,72,33,7,25,  9.72, 45.83,4,6, 28.00,100.00
372,72,29,21,52, 29.17, 40.28,7,5, 40.38,100.00
373,72,35,18,52, 25.00, 48.61,7,6, 34.62,100.00
374,72,34,18,52, 25.00, 47.22,7,6, 34.62,100.00
375,72,40,15,52, 20.83, 55.56,7,7, 28.85,100.00
376,72,27,13,25, 18.06, 37.50,4,5, 52.00,100.00
377,72,33,10,25, 13.89, 45.83,4,6, 40.00,100.00
378,72,32,10,25, 13.89, 44.44,4,6, 40.00,100.00
379,72,38,7,25,  9.72, 52.78,4,7, 28.00,100.00
380,72,34,21,52, 29.17, 47.22,7,6, 40.38,100.00
381,72,40,18,52, 25.00, 55.56,7,7, 34.62,100.00
382,72,39,20,57, 27.78, 54.17,8,7, 35.09,100.00
383,72,45,21,65, 29.17, 62.50,10,8, 32.31,100.00
384,72,7,12,25, 16.67,  9.72,4,2, 48.00,100.00
385,72,13,9,25, 12.50, 18.06,4,3, 36.00,100.00
386,72,12,9,25, 12.50, 16.67,4,3, 36.00,100.00
387,72,18,6,25,  8.33, 25.00,4,4, 24.00,100.00
388,72,14,15,32, 20.83, 19.44,5,3, 46.88,100.00
389,72,20,12,32, 16.67, 27.78,5,4, 37.50,100.00
390,72,19,12,32, 16.67, 26.39,5,4, 37.50,100.00
391,72,25,9,32, 12.50, 34.72,5,5, 28.13,100.00
392,72,12,12,25, 16.67, 16.67,4,3, 48.00,100.00
393,72,18,9,25, 12.50, 25.00,4,4, 36.00,100.00
394,72,17,9,25, 12.50, 23.61,4,4, 36.00,100.00
395,72,23,6,25,  8.33, 31.94,4,5, 24.00,100.00
396,72,19,15,32, 20.83, 26.39,5,4, 46.88,100.00
397,72,25,12,32, 16.67, 34.72,5,5, 37.50,100.00
398,72,24,13,37, 18.06, 33.33,6,5, 35.14,100.00
399,72,30,10,37, 13.89, 41.67,6,6, 27.03,100.00
400,72,14,13,25, 18.06, 19.44,4,3, 52.00,100.00
401,72,20,10,25, 13.89, 27.78,4,4, 40.00,100.00
402,72,19,10,25, 13.89, 26.39,4,4, 40.00,100.00
403,72,25,7,25,  9.72, 34.72,4,5, 28.00,100.00
404,72,21,19,45, 26.39, 29.17,6,4, 42.22,100.00
405,72,27,16,45, 22.22, 37.50,6,5, 35.56,100.00
406,72,26,16,45, 22.22, 36.11,6,5, 35.56,100.00
407,72,32,13,45, 18.06, 44.44,6,6, 28.89,100.00
408,72,19,13,25, 18.06, 26.39,4,4, 52.00,100.00
409,72,25,10,25, 13.89, 34.72,4,5, 40.00,100.00
410,72,24,10,25, 13.89, 33.33,4,5, 40.00,100.00
411,72,30,7,25,  9.72, 41.67,4,6, 28.00,100.00
412,72,26,19,45, 26.39, 36.11,6,5, 42.22,100.00
413,72,32,16,45, 22.22, 44.44,6,6, 35.56,100.00
414,72,31,18,50, 25.00, 43.06,7,6, 36.00,100.00
415,72,37,16,53, 22.22, 51.39,8,7, 30.19,100.00
416,72,14,12,25, 16.67, 19.44,4,3, 48.00,100.00
417,72,20,9,25, 12.50, 27.78,4,4, 36.00,100.00
418,72,19,9,25, 12.50, 26.39,4,4, 36.00,100.00
